AgeRange.Low,AgeRange.High,Gender.Value,Gender.Confidence,site,AverageAge
13,21,Female,99.98846436,Milan Json\cindyh_xy.jpg.json,17
21,29,Female,99.55056,Milan Json\cindysantosa.jpg.json,25
13,21,Female,99.97496796,Milan Json\cindyslh.jpg.json,17
45,53,Female,99.96701813,Milan Json\cindy_leesp.jpg.json,49
23,33,Female,99.99378967,Milan Json\claire._.jpg.json,28
23,31,Female,99.99107361,Milan Json\claireityclaire.jpg.json,27
30,40,Female,99.99286652,Milan Json\claireityclaire.jpg.json,35
53,61,Female,99.94483948,Milan Json\claireityclaire.jpg.json,57
14,22,Female,99.99977112,Milan Json\clarathiam.jpg.json,18
22,30,Female,99.9930191,Milan Json\cleodceo.jpg.json,26
16,24,Female,99.96105194,Milan Json\cleodceo.jpg.json,20
26,36,Male,94.91540527,Milan Json\clydemartinsinclair.jpg.json,31
22,30,Female,87.52913666,Milan Json\cocokhoa.jpg.json,26
23,33,Female,99.96813202,Milan Json\cocoxchicstyle.jpg.json,28
13,21,Female,98.85600281,Milan Json\coco_lui.jpg.json,17
18,24,Female,99.99549103,Milan Json\coco_magdalyn.jpg.json,21
22,30,Female,99.98991394,Milan Json\codshaklee_azy.jpg.json,26
26,36,Female,99.9151001,Milan Json\connie.jpg.json,31
22,30,Male,98.07279205,Milan Json\connie.jpg.json,26
25,35,Male,83.73834229,Milan Json\connie.jpg.json,30
49,57,Female,99.99777985,Milan Json\connie_swee.jpg.json,53
30,40,Female,99.96160126,Milan Json\connie_tctm.jpg.json,35
19,27,Female,98.99116516,Milan Json\conschoi1668.jpg.json,23
30,40,Female,99.97344971,Milan Json\cookie_crumble72.jpg.json,35
35,43,Male,99.50270081,Milan Json\corrine.jpg.json,39
23,33,Female,99.45304108,Milan Json\corrine.jpg.json,28
19,27,Male,99.16426849,Milan Json\corrine.jpg.json,23
35,43,Female,99.99320984,Milan Json\cplim86.jpg.json,39
