Name,Brand,Price,Picture,Category,Availability
  DIORISSIMO MEDIUM FLAP , Dior,2750.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19871_4_.jpg,Handbags,Available
  BRITT HOBO , Gucci,995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19870_4_.jpg,Handbags,Available
  HYSTERIA HOBO , Gucci,995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19869_4_.jpg,Handbags,Available
  CAPUCINES BB , Louis Vuitton,4350.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19868_3_.jpg,Handbags,Available
  CERF TOTE SMALL SHW , Chanel,3150.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19863_5_.jpg,Handbags,Available
  VINTAGE QUILTED LAMBSKIN SMALL TOTE , Chanel,1995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19862_4_.jpg,Handbags,Available
  SAFFIANO LUX MEDIUM TOTE , Prada,1150.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19859_4_.jpg,Handbags,Available
  DIORAMA STUDDED VERTICAL CLUTCH , Dior,2500.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19857_5_.jpg,Handbags,Available
  INTRECCIATO HORIZONTAL TOTE , Bottega Veneta,895.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19855_4_.jpg,Handbags,Available
  CANNAGE MEDIUM BOSTON BAG , Dior,1750.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19854_7_.jpg,Handbags,Available
  VINTAGE TIMELESS CC CAVIAR SMALL VANITY CASE , Chanel,3950.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19853_5_.jpg,Handbags,Available
  MICROGUCCISSIMA WOC , Gucci,1295.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19844_1_.jpg,Handbags,Available
  DAMIER RAVELLO GM , Louis Vuitton,1295.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19838_4_.jpg,Handbags,Available
  CC PEARL LONG NECKLACE , Chanel,950.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19830_2_.jpg,Handbags,Available
  QUILTED CAVIAR LONG FLAP WALLET , Chanel,750.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19829_5_.jpg,Handbags,Available
  GERBAG ZIP 31 TOILE , Hermes,2750.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19828_5_.jpg,Handbags,Available
  DAMIER HAMPSTEAD PM , Louis Vuitton,995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19823_4_.jpg,Handbags,Available
  DAMIER SPEEDY 35 , Louis Vuitton,1350.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19821_4_.jpg,Handbags,Available
  JACKIE FLAP , Gucci,1195.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19814_4_.jpg,Handbags,Available
  COCO HANDLE BSHW LARGE , Chanel,6995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19812_1_.jpg,Handbags,Available
  BEARN COMPACT WALLET PHW EPSOM , Hermes,2395.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19807_1_.jpg,Handbags,Available
  MONO V TOTE BB , Louis Vuitton,2850.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19800_4_.jpg,Handbags,Available
  TAIGA ORGANIZER ATOLL , Louis Vuitton,950.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19799_1_.jpg,Handbags,Available
  VINTAGE LAMBSKIN VANITY CASE , Chanel,4500.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19797_4_.jpg,Handbags,Available
  CHAMELEON LARGE TOTE , Fendi,1695.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19795_5_.jpg,Handbags,Available
  CONTE DE FEES MUSETTE , Louis Vuitton,1150.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19794_4_.jpg,Handbags,Available
  LOULOU BACKPACK , YSL,1995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19793_5_.jpg,Handbags,Available
  MADEMOISELLE VINTAGE ZIPPED WALLET GHW , Chanel,1295.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19792_6_.jpg,Handbags,Available
  VINTAGE TIMELESS CC CAVIAR SMALL VANITY CASE , Chanel,4950.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19791_9_.jpg,Handbags,Available
  VINTAGE LAMBSKIN SMALL VANITY CASE , Chanel,4850.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19790_1_.jpg,Handbags,Available
  PICOTIN 22 GHW CLEMENCE , Hermes,5150.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19788_6_.jpg,Handbags,Available
  LOCKME MINI BACKPACK , Louis Vuitton,2995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19787a.jpg,Handbags,Available
  NICE BB TOILETRY POUCH , Louis Vuitton,1595.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19783_4_.jpg,Handbags,Available
  DOWNTOWN CABAS SMALL , YSL,1150.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19782_4_.jpg,Handbags,Available
  GG DUMPLING BAG , Gucci,350.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19781_4_.jpg,Handbags,Available
  GG FLAT MESSENGER BAG , Gucci,350.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19780_4_.jpg,Handbags,Available
  MARMONT MATELASSE MINI , Gucci,2450.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19779_4_.jpg,Handbags,Available
  EPI NEO NOE MM , Louis Vuitton,2550.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19773_5_.jpg,Handbags,Available
  REBELLE MEDIUM , Gucci,2550.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19767_4_.jpg,Handbags,Available
  SLIP TOTE , Bottega Veneta,1995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19766_3_.jpg,Handbags,Available
  DAMIER CLAPTON BACKPACK , Louis Vuitton,2650.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19751_4_.jpg,Handbags,Available
  MONO FLORE WALLET , Louis Vuitton,1150.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19750_1__1.jpg,Handbags,Available
  CLASSIC CAVIAR JUMBO SHW DOUBLE , Chanel,9350.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19748_6_.jpg,Handbags,Available
  BOY LONG FLAP WALLET GHW , Chanel,1150.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19746_5_.jpg,Handbags,Available
  DAMIER GRAPHITE DOCUMENT JOUR , Louis Vuitton,1750.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19744_4_.jpg,Handbags,Available
  DIAMOND CC MEDIUM CAMERA BAG , Chanel,4750.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19743_5_.jpg,Handbags,Available
  TESSUTO NAPPA LARGE HOBO , Prada,750.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19742_4__1.jpg,Handbags,Available
  CRUISE 22 SMALL BRAIDED FLAP , Chanel,7995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19740_2_.jpg,Handbags,Available
  COCO CURVE FLAP , Chanel,4750.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19739_6_.jpg,Handbags,Available
